IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.174.239,443,443,true,AMS,Europe,NL,Amsterdam,231,7.43
130.162.213.77,443,443,true,FRA,Europe,DE,Frankfurt,258,7.42
138.2.148.167,443,443,true,FRA,Europe,DE,Frankfurt,344,7.42
141.147.103.37,443,443,true,FRA,Europe,DE,Frankfurt,303,7.42
141.144.207.78,443,443,true,FRA,Europe,DE,Frankfurt,357,7.41
84.235.161.77,443,443,true,FRA,Europe,DE,Frankfurt,201,7.40
141.147.32.245,443,443,true,FRA,Europe,DE,Frankfurt,267,7.39
79.72.95.88,443,443,true,FRA,Europe,DE,Frankfurt,323,7.36
144.24.191.135,443,443,true,FRA,Europe,DE,Frankfurt,370,7.35
130.61.15.27,443,443,true,FRA,Europe,DE,Frankfurt,248,7.35
144.21.61.216,443,443,true,FRA,Europe,DE,Frankfurt,207,7.34
150.230.42.80,443,443,true,SJC,North America,US,San Jose,236,7.33
141.147.61.116,2053,443,true,FRA,Europe,DE,Frankfurt,253,7.33
130.162.49.74,443,443,true,FRA,Europe,DE,Frankfurt,248,7.31
158.180.58.156,443,443,true,FRA,Europe,DE,Frankfurt,233,7.31
144.21.35.211,443,443,true,FRA,Europe,DE,Frankfurt,242,7.29
158.178.193.206,443,443,true,CDG,Europe,FR,Paris,370,7.28
129.80.204.57,443,443,true,IAD,North America,US,Ashburn,415,7.28
158.180.24.52,443,443,true,FRA,Europe,DE,Frankfurt,220,7.28
144.21.33.219,443,443,true,FRA,Europe,DE,Frankfurt,188,7.27
141.147.116.185,443,443,true,FRA,Europe,DE,Frankfurt,202,7.26
79.76.103.18,443,443,true,FRA,Europe,DE,Frankfurt,337,7.26
144.24.189.197,443,443,true,FRA,Europe,DE,Frankfurt,357,7.26
144.21.40.150,443,443,true,FRA,Europe,DE,Frankfurt,175,7.25
144.21.51.83,443,443,true,FRA,Europe,DE,Frankfurt,257,7.24
152.67.131.178,443,443,true,FRA,Europe,DE,Frankfurt,327,7.24
84.8.153.33,443,443,true,FRA,Europe,DE,Frankfurt,322,7.21
84.235.161.192,443,443,true,FRA,Europe,DE,Frankfurt,259,7.20
144.24.191.0,443,443,true,FRA,Europe,DE,Frankfurt,299,7.19
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,296,7.18
89.168.112.25,443,443,true,FRA,Europe,DE,Frankfurt,301,7.17
138.2.137.45,443,443,true,FRA,Europe,DE,Frankfurt,353,7.16
141.147.179.8,443,443,true,SIN,Asia Pacific,SG,Singapore,225,7.16
84.235.162.134,443,443,true,FRA,Europe,DE,Frankfurt,282,7.16
158.180.15.110,443,443,true,FRA,Europe,DE,Frankfurt,224,7.14
141.144.201.191,443,443,true,FRA,Europe,DE,Frankfurt,330,7.14
132.226.206.81,443,443,true,FRA,Europe,DE,Frankfurt,217,7.13
141.147.62.236,443,443,true,FRA,Europe,DE,Frankfurt,284,7.12
141.148.233.143,443,443,true,FRA,Europe,DE,Frankfurt,317,7.11
141.148.236.161,443,443,true,FRA,Europe,DE,Frankfurt,250,7.10
129.158.221.158,443,443,true,IAD,North America,US,Ashburn,371,7.08
141.147.73.7,443,443,true,FRA,Europe,DE,Frankfurt,296,7.08
150.230.20.74,443,443,true,FRA,Europe,DE,Frankfurt,374,7.07
141.147.1.3,443,443,true,FRA,Europe,DE,Frankfurt,260,7.06
141.148.238.243,443,443,true,FRA,Europe,DE,Frankfurt,281,7.05
193.123.185.146,443,443,true,FRA,Europe,DE,Frankfurt,319,7.05
158.180.12.142,443,443,true,FRA,Europe,DE,Frankfurt,318,7.05
141.147.119.56,443,443,true,FRA,Europe,DE,Frankfurt,318,7.04
132.226.132.88,443,443,true,FRA,Europe,DE,Frankfurt,203,7.03
155.248.182.237,443,443,true,LAX,North America,US,Los Angeles,308,7.03
146.56.154.247,443,443,true,LAX,North America,US,Los Angeles,289,7.03
141.147.73.135,443,443,true,FRA,Europe,DE,Frankfurt,308,7.01
129.158.62.176,443,443,true,IAD,North America,US,Ashburn,227,7.00
132.226.202.242,443,443,true,FRA,Europe,DE,Frankfurt,222,6.99
158.178.146.97,443,443,true,FRA,Europe,DE,Frankfurt,372,6.99
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,374,6.99
132.226.224.158,443,443,true,SIN,Asia Pacific,SG,Singapore,117,6.97
193.123.38.72,443,443,true,FRA,Europe,DE,Frankfurt,256,6.97
144.24.164.234,443,443,true,FRA,Europe,DE,Frankfurt,387,6.97
129.80.88.26,443,443,true,IAD,North America,US,Ashburn,237,6.96
129.159.30.73,443,443,true,FRA,Europe,DE,Frankfurt,179,6.96
129.159.11.65,443,443,true,FRA,Europe,DE,Frankfurt,155,6.95
129.213.10.94,443,443,true,IAD,North America,US,Ashburn,404,6.93
158.180.41.80,443,443,true,FRA,Europe,DE,Frankfurt,350,6.91
152.67.149.10,443,443,true,FRA,Europe,DE,Frankfurt,359,6.89
158.178.149.178,443,443,true,FRA,Europe,DE,Frankfurt,313,6.89
143.47.229.44,443,443,true,FRA,Europe,DE,Frankfurt,286,6.88
89.168.80.50,443,443,true,FRA,Europe,DE,Frankfurt,287,6.87
158.101.212.204,443,443,true,FRA,Europe,DE,Frankfurt,212,6.87
158.178.151.6,443,443,true,FRA,Europe,DE,Frankfurt,273,6.87
129.80.188.6,443,443,true,IAD,North America,US,Ashburn,253,6.85
84.8.144.83,443,443,true,FRA,Europe,DE,Frankfurt,266,6.84
129.153.155.113,443,443,true,IAD,North America,US,Ashburn,291,6.84
144.24.169.81,2053,443,true,FRA,Europe,DE,Frankfurt,184,6.83
150.230.21.9,443,443,true,FRA,Europe,DE,Frankfurt,229,6.83
143.47.230.105,443,443,true,FRA,Europe,DE,Frankfurt,166,6.83
150.230.23.31,443,443,true,FRA,Europe,DE,Frankfurt,180,6.82
144.21.40.140,443,443,true,FRA,Europe,DE,Frankfurt,316,6.81
79.76.119.25,443,443,true,FRA,Europe,DE,Frankfurt,256,6.81
138.2.178.227,443,443,true,FRA,Europe,DE,Frankfurt,327,6.79
158.180.24.39,443,443,true,FRA,Europe,DE,Frankfurt,333,6.79
141.144.192.172,443,443,true,FRA,Europe,DE,Frankfurt,266,6.77
79.76.127.205,443,443,true,FRA,Europe,DE,Frankfurt,299,6.77
141.147.101.241,443,443,true,FRA,Europe,DE,Frankfurt,283,6.76
141.148.238.49,443,443,true,FRA,Europe,DE,Frankfurt,221,6.76
193.123.235.59,443,443,true,ICN,Asia Pacific,KR,Seoul,317,6.75
129.159.9.32,443,443,true,FRA,Europe,DE,Frankfurt,280,6.73
141.147.104.121,443,443,true,FRA,Europe,DE,Frankfurt,234,6.73
141.147.108.178,443,443,true,FRA,Europe,DE,Frankfurt,297,6.73
144.24.188.98,443,443,true,FRA,Europe,DE,Frankfurt,364,6.72
152.67.134.109,443,443,true,FRA,Europe,DE,Frankfurt,236,6.71
144.21.43.102,443,443,true,FRA,Europe,DE,Frankfurt,245,6.70
130.162.60.211,443,443,true,FRA,Europe,DE,Frankfurt,179,6.70
143.47.176.242,443,443,true,FRA,Europe,DE,Frankfurt,254,6.66
84.235.175.239,443,443,true,FRA,Europe,DE,Frankfurt,278,6.65
143.47.237.176,443,443,true,FRA,Europe,DE,Frankfurt,267,6.65
89.168.83.74,443,443,true,FRA,Europe,DE,Frankfurt,274,6.65
141.148.224.184,443,443,true,FRA,Europe,DE,Frankfurt,305,6.61
141.144.224.152,443,443,true,FRA,Europe,DE,Frankfurt,261,6.60
129.80.204.61,443,443,true,IAD,North America,US,Ashburn,363,6.60
132.226.134.167,443,443,true,FRA,Europe,DE,Frankfurt,216,6.59
158.180.26.92,443,443,true,FRA,Europe,DE,Frankfurt,338,6.57
193.123.60.27,443,443,true,FRA,Europe,DE,Frankfurt,328,6.56
143.47.183.223,443,443,true,FRA,Europe,DE,Frankfurt,231,6.56
152.70.56.236,443,443,true,FRA,Europe,DE,Frankfurt,264,6.54
143.47.235.139,443,443,true,FRA,Europe,DE,Frankfurt,182,6.54
158.180.51.106,443,443,true,FRA,Europe,DE,Frankfurt,319,6.52
141.147.89.246,443,443,true,FRA,Europe,DE,Frankfurt,318,6.49
84.235.164.144,443,443,true,FRA,Europe,DE,Frankfurt,295,6.48
141.147.29.56,443,443,true,FRA,Europe,DE,Frankfurt,258,6.48
130.162.164.142,443,443,true,FRA,Europe,DE,Frankfurt,287,6.48
130.61.207.112,443,443,true,FRA,Europe,DE,Frankfurt,199,6.48
141.148.45.246,443,443,true,IAD,North America,US,Ashburn,323,6.46
143.47.239.45,443,443,true,FRA,Europe,DE,Frankfurt,219,6.46
193.123.33.167,443,443,true,FRA,Europe,DE,Frankfurt,316,6.46
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,264,6.45
143.47.251.25,443,443,true,FRA,Europe,DE,Frankfurt,225,6.45
130.162.184.24,443,443,true,FRA,Europe,DE,Frankfurt,267,6.44
193.123.81.105,443,443,true,CDG,Europe,FR,Paris,251,6.43
152.70.56.137,443,443,true,FRA,Europe,DE,Frankfurt,269,6.43
158.180.37.43,443,443,true,FRA,Europe,DE,Frankfurt,219,6.41
193.123.59.48,443,443,true,FRA,Europe,DE,Frankfurt,368,6.40
129.159.202.161,443,443,true,FRA,Europe,DE,Frankfurt,256,6.40
152.70.60.135,443,443,true,FRA,Europe,DE,Frankfurt,256,6.40
158.180.15.234,443,443,true,FRA,Europe,DE,Frankfurt,218,6.39
141.147.105.127,443,443,true,FRA,Europe,DE,Frankfurt,297,6.38
141.148.40.65,443,443,true,IAD,North America,US,Ashburn,349,6.35
141.147.118.79,443,443,true,FRA,Europe,DE,Frankfurt,255,6.34
158.180.13.29,443,443,true,FRA,Europe,DE,Frankfurt,281,6.33
144.21.49.125,443,443,true,FRA,Europe,DE,Frankfurt,225,6.33
79.72.81.199,443,443,true,FRA,Europe,DE,Frankfurt,273,6.32
132.226.211.19,443,443,true,FRA,Europe,DE,Frankfurt,200,6.32
141.148.234.175,443,443,true,FRA,Europe,DE,Frankfurt,340,6.31
138.2.175.138,443,443,true,FRA,Europe,DE,Frankfurt,469,6.30
141.147.104.0,443,443,true,FRA,Europe,DE,Frankfurt,309,6.28
150.230.126.119,443,443,true,FRA,Europe,DE,Frankfurt,292,6.28
143.47.186.131,443,443,true,FRA,Europe,DE,Frankfurt,192,6.27
144.24.191.192,443,443,true,FRA,Europe,DE,Frankfurt,406,6.23
130.162.129.138,443,443,true,SIN,Asia Pacific,SG,Singapore,155,6.22
141.147.35.247,443,443,true,FRA,Europe,DE,Frankfurt,293,6.22
129.151.225.228,8443,443,true,MRS,Europe,FR,Marseille,467,6.21
79.72.83.111,443,443,true,FRA,Europe,DE,Frankfurt,309,6.21
144.24.78.162,443,443,true,ICN,Asia Pacific,KR,Seoul,193,6.18
146.56.131.122,443,443,true,LAX,North America,US,Los Angeles,266,6.16
132.226.212.255,443,443,true,FRA,Europe,DE,Frankfurt,211,6.15
141.147.32.225,443,443,true,FRA,Europe,DE,Frankfurt,271,6.14
130.162.232.155,443,443,true,FRA,Europe,DE,Frankfurt,261,6.12
158.180.27.52,443,443,true,FRA,Europe,DE,Frankfurt,207,6.12
130.162.189.125,443,443,true,FRA,Europe,DE,Frankfurt,225,6.11
143.47.252.119,443,443,true,FRA,Europe,DE,Frankfurt,264,6.09
141.147.87.186,443,443,true,FRA,Europe,DE,Frankfurt,295,6.08
130.162.171.209,443,443,true,FRA,Europe,DE,Frankfurt,260,6.08
130.162.172.27,443,443,true,FRA,Europe,DE,Frankfurt,281,6.07
130.162.187.194,443,443,true,FRA,Europe,DE,Frankfurt,269,6.06
193.123.190.121,443,443,true,FRA,Europe,DE,Frankfurt,325,6.05
158.180.19.36,443,443,true,FRA,Europe,DE,Frankfurt,219,6.04
132.226.213.106,443,443,true,FRA,Europe,DE,Frankfurt,209,6.04
132.226.206.33,443,443,true,FRA,Europe,DE,Frankfurt,201,6.03
158.178.157.26,443,443,true,FRA,Europe,DE,Frankfurt,275,6.03
158.178.158.65,443,443,true,FRA,Europe,DE,Frankfurt,379,6.03
84.235.162.107,443,443,true,FRA,Europe,DE,Frankfurt,205,6.01
141.147.4.99,443,443,true,FRA,Europe,DE,Frankfurt,308,6.01
84.235.173.89,443,443,true,FRA,Europe,DE,Frankfurt,318,6.00
143.47.176.43,443,443,true,FRA,Europe,DE,Frankfurt,208,5.99
141.148.231.2,443,443,true,FRA,Europe,DE,Frankfurt,245,5.99
130.162.245.116,443,443,true,FRA,Europe,DE,Frankfurt,214,5.97
129.80.152.6,443,443,true,IAD,North America,US,Ashburn,326,5.96
84.8.156.219,443,443,true,FRA,Europe,DE,Frankfurt,364,5.96
152.67.152.181,443,443,true,FRA,Europe,DE,Frankfurt,323,5.95
