IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.170.125,443,443,true,SIN,Asia Pacific,SG,Singapore,239,2.77
8.219.153.135,443,443,true,SIN,Asia Pacific,SG,Singapore,184,2.77
8.222.187.79,443,443,true,SIN,Asia Pacific,SG,Singapore,225,2.64
8.222.159.211,443,443,true,SIN,Asia Pacific,SG,Singapore,254,2.61
8.219.252.89,443,443,true,SIN,Asia Pacific,SG,Singapore,209,2.60
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,309,2.57
8.219.190.239,443,443,true,SIN,Asia Pacific,SG,Singapore,311,2.56
8.219.161.54,443,443,true,SIN,Asia Pacific,SG,Singapore,286,2.55
8.219.252.89,443,443,true,SIN,Asia Pacific,SG,Singapore,233,2.50
8.222.170.156,443,443,true,SIN,Asia Pacific,SG,Singapore,321,2.48
8.222.189.18,443,443,true,SIN,Asia Pacific,SG,Singapore,226,2.41
8.219.71.163,443,443,true,SIN,Asia Pacific,SG,Singapore,196,2.41
8.222.168.2,443,443,true,SIN,Asia Pacific,SG,Singapore,320,2.40
8.222.198.109,443,443,true,SIN,Asia Pacific,SG,Singapore,237,2.40
8.222.244.147,443,443,true,SIN,Asia Pacific,SG,Singapore,224,2.38
47.236.127.97,443,443,true,SIN,Asia Pacific,SG,Singapore,271,2.38
8.222.230.135,443,443,true,SIN,Asia Pacific,SG,Singapore,226,2.37
8.222.145.180,443,443,true,SIN,Asia Pacific,SG,Singapore,223,2.34
8.222.211.180,443,443,true,SIN,Asia Pacific,SG,Singapore,232,2.33
8.219.197.150,443,443,true,SIN,Asia Pacific,SG,Singapore,254,2.32
8.222.194.147,443,443,true,SIN,Asia Pacific,SG,Singapore,291,2.30
8.219.118.138,443,443,true,SIN,Asia Pacific,SG,Singapore,132,2.24
8.219.245.245,443,443,true,SIN,Asia Pacific,SG,Singapore,259,2.20
8.219.212.174,443,443,true,SIN,Asia Pacific,SG,Singapore,264,2.18
8.219.124.127,443,443,true,SIN,Asia Pacific,SG,Singapore,313,2.18
8.219.113.81,443,443,true,SIN,Asia Pacific,SG,Singapore,144,2.17
8.219.197.73,443,443,true,SIN,Asia Pacific,SG,Singapore,301,2.15
8.219.92.22,443,443,true,SIN,Asia Pacific,SG,Singapore,218,2.15
8.219.194.95,443,443,true,SIN,Asia Pacific,SG,Singapore,356,2.13
8.219.162.87,443,443,true,SIN,Asia Pacific,SG,Singapore,291,2.12
8.222.209.248,443,443,true,SIN,Asia Pacific,SG,Singapore,310,2.11
8.219.130.134,443,443,true,SIN,Asia Pacific,SG,Singapore,277,2.07
8.219.244.42,443,443,true,SIN,Asia Pacific,SG,Singapore,237,2.06
8.222.147.150,443,443,true,SIN,Asia Pacific,SG,Singapore,303,2.04
8.222.139.195,443,443,true,SIN,Asia Pacific,SG,Singapore,231,2.03
8.219.125.199,443,443,true,SIN,Asia Pacific,SG,Singapore,250,2.03
8.222.224.152,443,443,true,SIN,Asia Pacific,SG,Singapore,216,2.02
8.219.118.138,443,443,true,SIN,Asia Pacific,SG,Singapore,247,2.02
8.219.130.126,443,443,true,SIN,Asia Pacific,SG,Singapore,215,2.02
8.219.244.42,443,443,true,SIN,Asia Pacific,SG,Singapore,309,1.96
8.219.253.2,443,443,true,SIN,Asia Pacific,SG,Singapore,235,1.93
8.222.147.16,443,443,true,SIN,Asia Pacific,SG,Singapore,271,1.91
8.219.192.248,443,443,true,SIN,Asia Pacific,SG,Singapore,277,1.90
8.219.249.211,443,443,true,SIN,Asia Pacific,SG,Singapore,283,1.85
8.219.1.95,443,443,true,SIN,Asia Pacific,SG,Singapore,204,1.83
8.222.216.216,443,443,true,SIN,Asia Pacific,SG,Singapore,260,1.83
8.219.219.149,443,443,true,SIN,Asia Pacific,SG,Singapore,203,1.78
8.222.206.17,443,443,true,SIN,Asia Pacific,SG,Singapore,306,1.77
8.219.125.199,443,443,true,SIN,Asia Pacific,SG,Singapore,137,1.76
8.219.206.237,443,443,true,SIN,Asia Pacific,SG,Singapore,307,1.76
8.219.201.21,443,443,true,SIN,Asia Pacific,SG,Singapore,332,1.74
8.219.96.119,443,443,true,SIN,Asia Pacific,SG,Singapore,209,1.73
8.222.220.85,443,443,true,SIN,Asia Pacific,SG,Singapore,213,1.73
8.219.175.210,443,443,true,SIN,Asia Pacific,SG,Singapore,197,1.69
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,379,1.68
8.219.130.14,443,443,true,SIN,Asia Pacific,SG,Singapore,303,1.67
8.219.10.33,443,443,true,SIN,Asia Pacific,SG,Singapore,187,1.63
8.222.198.109,443,443,true,SIN,Asia Pacific,SG,Singapore,294,1.61
8.219.54.34,443,443,true,SIN,Asia Pacific,SG,Singapore,260,1.58
8.219.249.211,443,443,true,SIN,Asia Pacific,SG,Singapore,296,1.58
8.222.209.248,443,443,true,SIN,Asia Pacific,SG,Singapore,347,1.56
8.222.230.210,443,443,true,SIN,Asia Pacific,SG,Singapore,272,1.53
8.219.130.5,443,443,true,SIN,Asia Pacific,SG,Singapore,261,1.51
