IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.144.193.96,443,443,true,FRA,Europe,DE,Frankfurt,328,6.01
141.147.65.142,443,443,true,FRA,Europe,DE,Frankfurt,309,6.00
129.80.109.179,443,443,true,IAD,North America,US,Ashburn,246,5.99
158.101.188.128,443,443,true,FRA,Europe,DE,Frankfurt,281,5.98
89.168.122.133,443,443,true,FRA,Europe,DE,Frankfurt,237,5.94
150.230.149.169,443,443,true,FRA,Europe,DE,Frankfurt,302,5.93
141.144.195.117,443,443,true,FRA,Europe,DE,Frankfurt,193,5.93
130.61.203.115,2053,443,true,FRA,Europe,DE,Frankfurt,292,5.91
141.148.233.188,443,443,true,FRA,Europe,DE,Frankfurt,284,5.91
141.144.194.47,443,443,true,FRA,Europe,DE,Frankfurt,176,5.90
158.101.141.78,443,443,true,NRT,Asia Pacific,JP,Tokyo,169,5.89
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,235,5.87
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,273,5.86
144.21.33.102,443,443,true,FRA,Europe,DE,Frankfurt,325,5.85
141.144.201.12,443,443,true,FRA,Europe,DE,Frankfurt,214,5.85
130.61.203.115,8443,443,true,FRA,Europe,DE,Frankfurt,266,5.82
152.70.251.158,443,443,true,SIN,Asia Pacific,SG,Singapore,179,5.81
84.8.155.178,443,443,true,FRA,Europe,DE,Frankfurt,307,5.81
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,201,5.77
141.148.225.4,443,443,true,FRA,Europe,DE,Frankfurt,248,5.76
141.148.80.55,443,443,true,IAD,North America,US,Ashburn,353,5.76
152.70.237.150,443,443,true,SIN,Asia Pacific,SG,Singapore,145,5.76
193.123.69.77,443,443,true,MRS,Europe,FR,Marseille,223,5.73
131.186.60.210,8080,443,true,NRT,Asia Pacific,JP,Tokyo,121,5.72
132.226.7.217,443,443,true,NRT,Asia Pacific,JP,Tokyo,195,5.70
168.138.162.187,443,443,true,SIN,Asia Pacific,SG,Singapore,156,5.69
158.180.36.254,443,443,true,FRA,Europe,DE,Frankfurt,264,5.69
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,115,5.68
132.145.54.84,8443,443,true,LHR,Europe,GB,London,172,5.67
140.245.66.31,443,443,true,ICN,Asia Pacific,KR,Seoul,269,5.67
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,260,5.67
141.148.228.96,443,443,true,FRA,Europe,DE,Frankfurt,314,5.65
79.72.67.20,443,443,true,FRA,Europe,DE,Frankfurt,303,5.65
158.180.31.152,443,443,true,FRA,Europe,DE,Frankfurt,322,5.65
129.159.24.243,443,443,true,FRA,Europe,DE,Frankfurt,227,5.64
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,70,5.60
141.147.83.30,443,443,true,FRA,Europe,DE,Frankfurt,282,5.57
193.122.117.159,443,443,true,ICN,Asia Pacific,KR,Seoul,131,5.56
79.72.84.40,443,443,true,FRA,Europe,DE,Frankfurt,291,5.53
141.144.198.47,443,443,true,FRA,Europe,DE,Frankfurt,307,5.50
79.72.85.194,443,443,true,FRA,Europe,DE,Frankfurt,298,5.49
152.67.102.137,443,443,true,SYD,Oceania,AU,Sydney,202,5.48
131.186.27.112,2096,443,true,ICN,Asia Pacific,KR,Seoul,134,5.48
138.2.13.32,443,443,true,LAX,North America,US,Los Angeles,321,5.48
158.178.148.68,443,443,true,FRA,Europe,DE,Frankfurt,233,5.46
143.47.183.129,443,443,true,FRA,Europe,DE,Frankfurt,291,5.44
150.230.127.10,443,443,true,FRA,Europe,DE,Frankfurt,341,5.44
89.168.99.0,443,443,true,FRA,Europe,DE,Frankfurt,228,5.42
141.147.2.161,443,443,true,FRA,Europe,DE,Frankfurt,243,5.38
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,135,5.37
84.235.162.173,443,443,true,FRA,Europe,DE,Frankfurt,232,5.37
217.142.138.20,443,443,true,ICN,Asia Pacific,KR,Seoul,223,5.36
141.147.116.108,443,443,true,FRA,Europe,DE,Frankfurt,275,5.34
158.180.13.239,443,443,true,FRA,Europe,DE,Frankfurt,239,5.31
140.238.23.148,443,443,true,ICN,Asia Pacific,KR,Seoul,161,5.31
192.9.180.162,443,443,true,SYD,Oceania,AU,Sydney,225,5.31
130.162.168.176,443,443,true,FRA,Europe,DE,Frankfurt,219,5.31
138.2.25.55,443,443,true,LAX,North America,US,Los Angeles,323,5.30
158.180.23.181,443,443,true,FRA,Europe,DE,Frankfurt,200,5.29
152.70.50.193,443,443,true,FRA,Europe,DE,Frankfurt,220,5.25
129.154.59.99,443,443,true,ICN,Asia Pacific,KR,Seoul,317,5.22
141.147.115.198,443,443,true,FRA,Europe,DE,Frankfurt,344,5.21
79.72.67.158,443,443,true,FRA,Europe,DE,Frankfurt,289,5.19
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,263,5.17
129.146.7.98,443,443,true,LAX,North America,US,Los Angeles,224,5.17
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,131,5.15
84.235.169.100,443,443,true,FRA,Europe,DE,Frankfurt,226,5.14
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,392,5.14
141.147.16.152,8443,443,true,FRA,Europe,DE,Frankfurt,280,5.14
193.122.107.147,443,443,true,ICN,Asia Pacific,KR,Seoul,105,5.11
84.235.172.87,443,443,true,FRA,Europe,DE,Frankfurt,294,5.10
141.144.204.165,443,443,true,FRA,Europe,DE,Frankfurt,269,5.07
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,353,5.07
130.162.38.132,443,443,true,FRA,Europe,DE,Frankfurt,237,5.06
146.56.145.140,443,443,true,LAX,North America,US,Los Angeles,399,5.05
158.180.28.162,443,443,true,FRA,Europe,DE,Frankfurt,234,5.05
155.248.178.58,80,443,true,NRT,Asia Pacific,JP,Tokyo,179,5.03
150.230.123.53,443,443,true,FRA,Europe,DE,Frankfurt,243,5.03
217.142.243.226,443,443,true,KIX,Asia Pacific,JP,Osaka,297,5.03
79.76.98.46,443,443,true,FRA,Europe,DE,Frankfurt,308,5.02
152.67.142.194,443,443,true,FRA,Europe,DE,Frankfurt,324,5.01
141.147.76.172,443,443,true,FRA,Europe,DE,Frankfurt,290,5.00
158.180.47.249,443,443,true,FRA,Europe,DE,Frankfurt,332,4.99
141.147.32.122,443,443,true,FRA,Europe,DE,Frankfurt,266,4.97
193.122.117.159,443,443,true,ICN,Asia Pacific,KR,Seoul,127,4.96
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,167,4.92
141.148.224.215,443,443,true,FRA,Europe,DE,Frankfurt,272,4.91
144.24.90.107,443,443,true,ICN,Asia Pacific,KR,Seoul,206,4.89
158.180.65.145,443,443,true,ICN,Asia Pacific,KR,Seoul,78,4.87
141.144.201.197,443,443,true,FRA,Europe,DE,Frankfurt,240,4.87
79.72.78.36,443,443,true,FRA,Europe,DE,Frankfurt,383,4.86
89.168.126.60,443,443,true,FRA,Europe,DE,Frankfurt,300,4.75
140.238.121.7,443,443,true,FRA,Europe,DE,Frankfurt,354,4.72
130.162.161.114,443,443,true,FRA,Europe,DE,Frankfurt,295,4.71
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,164,4.71
141.144.231.245,443,443,true,FRA,Europe,DE,Frankfurt,370,4.71
144.24.168.180,443,443,true,FRA,Europe,DE,Frankfurt,286,4.69
141.147.65.243,443,443,true,FRA,Europe,DE,Frankfurt,319,4.62
143.47.254.74,443,443,true,FRA,Europe,DE,Frankfurt,223,4.62
155.248.196.123,443,443,true,YVR,North America,CA,Vancouver,233,4.62
89.168.99.117,443,443,true,FRA,Europe,DE,Frankfurt,220,4.61
152.70.165.170,443,443,true,FRA,Europe,DE,Frankfurt,218,4.61
141.147.104.248,443,443,true,FRA,Europe,DE,Frankfurt,270,4.60
141.148.235.116,443,443,true,FRA,Europe,DE,Frankfurt,303,4.59
130.162.134.44,443,443,true,SIN,Asia Pacific,SG,Singapore,87,4.58
130.162.163.124,443,443,true,FRA,Europe,DE,Frankfurt,273,4.56
158.101.199.249,8443,443,true,AMS,Europe,NL,Amsterdam,353,4.56
140.238.212.95,443,443,true,ZRH,Europe,CH,Zurich,271,4.56
