IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.218.248.74,443,443,true,SEA,North America,US,Seattle,229,9.18
67.226.223.205,80,443,true,LHR,Europe,GB,London,267,9.18
34.214.172.22,443,443,true,SEA,North America,US,Seattle,349,9.18
18.236.120.251,443,443,true,SEA,North America,US,Seattle,244,9.18
52.12.162.159,443,443,true,SEA,North America,US,Seattle,230,9.18
3.8.16.48,443,443,true,LHR,Europe,GB,London,224,9.16
34.242.146.141,443,443,true,DUB,Europe,IE,Dublin,278,9.15
47.129.174.21,443,443,true,SIN,Asia Pacific,SG,Singapore,304,9.15
52.32.188.199,443,443,true,SEA,North America,US,Seattle,255,9.15
52.40.221.63,443,443,true,SEA,North America,US,Seattle,251,9.15
44.245.174.185,443,443,true,SEA,North America,US,Seattle,274,9.15
47.129.177.66,443,443,true,SIN,Asia Pacific,SG,Singapore,298,9.15
52.42.136.75,443,443,true,SEA,North America,US,Seattle,261,9.14
3.146.145.210,443,443,true,ORD,North America,US,Chicago,340,9.14
54.213.215.13,2053,443,true,PDX,North America,US,Portland,249,9.13
34.213.127.242,443,443,true,SEA,North America,US,Seattle,295,9.13
40.172.150.147,8443,443,true,MRS,Europe,FR,Marseille,225,9.12
54.214.195.0,443,443,true,SEA,North America,US,Seattle,224,9.12
35.177.193.53,443,443,true,LHR,Europe,GB,London,352,9.11
54.148.144.164,443,443,true,PDX,North America,US,Portland,308,9.11
3.148.113.141,8443,443,true,IAD,North America,US,Ashburn,354,9.10
34.219.18.231,443,443,true,SEA,North America,US,Seattle,229,9.09
54.202.56.174,443,443,true,PDX,North America,US,Portland,240,9.09
34.215.215.252,443,443,true,SEA,North America,US,Seattle,282,9.08
35.164.159.45,443,443,true,SEA,North America,US,Seattle,243,9.08
204.110.220.29,80,443,true,SJC,North America,US,San Jose,211,9.08
54.202.239.186,443,443,true,SEA,North America,US,Seattle,226,9.08
54.245.13.200,443,443,true,SEA,North America,US,Seattle,317,9.07
54.218.94.186,443,443,true,SEA,North America,US,Seattle,218,9.07
3.101.133.120,80,443,true,SJC,North America,US,San Jose,302,9.07
35.93.31.9,443,443,true,SEA,North America,US,Seattle,269,9.07
54.219.128.169,80,443,true,SJC,North America,US,San Jose,273,9.06
54.241.79.250,80,443,true,SJC,North America,US,San Jose,283,9.06
52.27.40.173,443,443,true,SEA,North America,US,Seattle,288,9.06
54.151.9.4,80,443,true,SJC,North America,US,San Jose,429,9.06
54.193.104.34,80,443,true,SJC,North America,US,San Jose,216,9.05
52.89.97.12,443,443,true,PDX,North America,US,Portland,252,9.05
54.187.240.31,443,443,true,PDX,North America,US,Portland,237,9.04
35.87.122.22,443,443,true,SEA,North America,US,Seattle,245,9.04
50.18.133.190,80,443,true,SJC,North America,US,San Jose,293,9.04
35.167.147.156,443,443,true,SEA,North America,US,Seattle,296,9.03
44.244.114.154,443,443,true,SEA,North America,US,Seattle,210,9.03
52.12.8.118,443,443,true,SEA,North America,US,Seattle,342,9.02
3.128.206.213,8443,443,true,IAD,North America,US,Ashburn,232,9.01
34.208.221.169,443,443,true,SEA,North America,US,Seattle,226,9.00
3.148.113.141,8443,443,true,IAD,North America,US,Ashburn,252,8.99
54.213.215.13,8443,443,true,PDX,North America,US,Portland,288,8.98
54.187.212.113,2053,443,true,PDX,North America,US,Portland,220,8.98
34.217.29.24,443,443,true,SEA,North America,US,Seattle,274,8.98
54.187.212.113,2053,443,true,PDX,North America,US,Portland,235,8.98
35.86.111.214,443,443,true,SEA,North America,US,Seattle,272,8.98
54.202.56.174,443,443,true,SEA,North America,US,Seattle,242,8.97
3.9.9.137,8443,443,true,LHR,Europe,GB,London,299,8.97
34.218.130.79,443,443,true,PDX,North America,US,Portland,279,8.96
54.203.45.68,443,443,true,SEA,North America,US,Seattle,314,8.96
54.245.155.49,443,443,true,SEA,North America,US,Seattle,367,8.96
18.191.165.92,443,443,true,IAD,North America,US,Ashburn,306,8.96
18.184.47.63,443,443,true,FRA,Europe,DE,Frankfurt,328,8.95
54.187.212.113,8443,443,true,PDX,North America,US,Portland,324,8.94
54.193.104.34,80,443,true,SJC,North America,US,San Jose,236,8.94
18.158.129.128,443,443,true,FRA,Europe,DE,Frankfurt,288,8.93
44.227.209.152,443,443,true,PDX,North America,US,Portland,251,8.93
52.11.38.216,443,443,true,SEA,North America,US,Seattle,302,8.93
54.70.201.49,443,443,true,SEA,North America,US,Seattle,310,8.92
52.27.119.140,443,443,true,SEA,North America,US,Seattle,216,8.92
54.148.167.46,443,443,true,PDX,North America,US,Portland,244,8.91
54.70.24.136,443,443,true,SEA,North America,US,Seattle,244,8.91
67.226.223.91,80,443,true,LHR,Europe,GB,London,389,8.90
54.202.5.57,443,443,true,SEA,North America,US,Seattle,275,8.90
204.110.220.190,80,443,true,SJC,North America,US,San Jose,233,8.90
54.241.79.250,80,443,true,SJC,North America,US,San Jose,288,8.89
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,264,8.89
18.175.213.7,443,443,true,LHR,Europe,GB,London,298,8.89
54.67.51.212,80,443,true,SJC,North America,US,San Jose,334,8.89
35.89.160.188,8443,443,true,SEA,North America,US,Seattle,247,8.88
52.27.40.173,443,443,true,SEA,North America,US,Seattle,252,8.88
54.70.201.49,443,443,true,SEA,North America,US,Seattle,293,8.87
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,248,8.87
18.237.87.18,443,443,true,SEA,North America,US,Seattle,269,8.87
3.76.75.137,2053,443,true,FRA,Europe,DE,Frankfurt,264,8.87
54.187.101.21,443,443,true,SEA,North America,US,Seattle,242,8.87
204.110.220.101,80,443,true,SJC,North America,US,San Jose,252,8.87
54.202.5.57,443,443,true,SEA,North America,US,Seattle,267,8.87
54.245.213.154,443,443,true,SEA,North America,US,Seattle,276,8.86
35.92.58.198,443,443,true,SEA,North America,US,Seattle,297,8.86
18.170.48.246,443,443,true,LHR,Europe,GB,London,212,8.86
34.217.87.226,443,443,true,SEA,North America,US,Seattle,297,8.86
34.220.141.227,443,443,true,SEA,North America,US,Seattle,231,8.86
54.200.244.93,443,443,true,PDX,North America,US,Portland,234,8.86
34.220.171.252,443,443,true,SEA,North America,US,Seattle,269,8.86
54.212.64.122,443,443,true,SEA,North America,US,Seattle,218,8.83
34.214.29.4,443,443,true,SEA,North America,US,Seattle,213,8.83
52.43.224.109,443,443,true,SEA,North America,US,Seattle,337,8.82
34.217.174.47,443,443,true,SEA,North America,US,Seattle,294,8.82
3.251.80.227,443,443,true,DUB,Europe,IE,Dublin,310,8.82
44.244.221.11,443,443,true,SEA,North America,US,Seattle,322,8.82
54.212.64.122,443,443,true,SEA,North America,US,Seattle,266,8.82
35.178.230.28,443,443,true,LHR,Europe,GB,London,326,8.81
18.175.49.226,443,443,true,LHR,Europe,GB,London,308,8.81
3.250.19.114,443,443,true,DUB,Europe,IE,Dublin,295,8.81
67.226.221.158,80,443,true,SJC,North America,US,San Jose,366,8.80
54.151.9.4,80,443,true,SJC,North America,US,San Jose,367,8.80
44.245.199.154,443,443,true,SEA,North America,US,Seattle,279,8.80
18.170.91.233,443,443,true,LHR,Europe,GB,London,234,8.80
54.245.158.32,443,443,true,SEA,North America,US,Seattle,313,8.80
52.10.37.167,443,443,true,SEA,North America,US,Seattle,216,8.79
204.110.220.70,80,443,true,SJC,North America,US,San Jose,229,8.79
18.171.249.34,443,443,true,LHR,Europe,GB,London,247,8.78
54.177.196.101,80,443,true,SJC,North America,US,San Jose,337,8.78
34.215.169.157,443,443,true,SEA,North America,US,Seattle,246,8.78
184.169.222.179,80,443,true,SJC,North America,US,San Jose,245,8.78
52.32.188.199,443,443,true,SEA,North America,US,Seattle,258,8.77
18.222.120.144,443,443,true,IAD,North America,US,Ashburn,319,8.76
67.226.223.92,80,443,true,LHR,Europe,GB,London,395,8.76
67.226.221.199,80,443,true,SJC,North America,US,San Jose,452,8.76
44.242.192.81,443,443,true,SEA,North America,US,Seattle,246,8.75
3.123.17.156,443,443,true,FRA,Europe,DE,Frankfurt,223,8.75
3.101.102.25,80,443,true,SJC,North America,US,San Jose,198,8.74
50.18.133.190,80,443,true,SJC,North America,US,San Jose,268,8.74
54.218.94.186,443,443,true,SEA,North America,US,Seattle,371,8.74
34.216.225.25,443,443,true,PDX,North America,US,Portland,255,8.74
3.22.79.92,443,443,true,IAD,North America,US,Ashburn,279,8.73
18.158.129.128,2053,443,true,FRA,Europe,DE,Frankfurt,264,8.73
204.110.220.67,80,443,true,SJC,North America,US,San Jose,222,8.73
52.12.8.118,443,443,true,SEA,North America,US,Seattle,233,8.71
52.42.71.111,443,443,true,PDX,North America,US,Portland,239,8.71
35.167.147.156,443,443,true,SEA,North America,US,Seattle,247,8.71
44.242.192.81,443,443,true,SEA,North America,US,Seattle,281,8.70
34.252.89.42,443,443,true,DUB,Europe,IE,Dublin,333,8.69
34.214.104.193,8443,443,true,SEA,North America,US,Seattle,265,8.67
3.138.124.38,443,443,true,IAD,North America,US,Ashburn,350,8.66
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,323,8.66
67.226.223.206,80,443,true,LHR,Europe,GB,London,398,8.66
67.226.221.61,443,443,true,SJC,North America,US,San Jose,403,8.66
35.179.74.2,443,443,true,LHR,Europe,GB,London,295,8.66
34.194.76.43,443,443,true,IAD,North America,US,Ashburn,311,8.65
54.203.12.189,443,443,true,SEA,North America,US,Seattle,259,8.65
67.226.221.61,80,443,true,SJC,North America,US,San Jose,207,8.64
34.220.38.56,443,443,true,SEA,North America,US,Seattle,290,8.63
67.226.221.6,80,443,true,SJC,North America,US,San Jose,449,8.62
18.175.226.184,443,443,true,LHR,Europe,GB,London,327,8.62
63.33.212.230,443,443,true,DUB,Europe,IE,Dublin,229,8.62
54.176.113.170,80,443,true,SJC,North America,US,San Jose,245,8.59
3.10.5.37,443,443,true,LHR,Europe,GB,London,278,8.59
52.43.224.109,443,443,true,SEA,North America,US,Seattle,230,8.59
34.214.104.193,8443,443,true,SEA,North America,US,Seattle,322,8.58
18.144.44.213,80,443,true,SJC,North America,US,San Jose,319,8.58
44.245.199.154,443,443,true,SEA,North America,US,Seattle,340,8.57
35.179.76.0,443,443,true,LHR,Europe,GB,London,315,8.57
3.101.73.167,80,443,true,SJC,North America,US,San Jose,337,8.55
54.176.205.20,80,443,true,SJC,North America,US,San Jose,274,8.55
67.226.221.212,443,443,true,SJC,North America,US,San Jose,306,8.55
35.166.37.204,443,443,true,SEA,North America,US,Seattle,252,8.55
3.129.88.218,443,443,true,IAD,North America,US,Ashburn,311,8.55
67.226.221.124,443,443,true,SJC,North America,US,San Jose,431,8.55
67.226.221.14,80,443,true,SJC,North America,US,San Jose,208,8.55
54.67.51.212,80,443,true,SJC,North America,US,San Jose,336,8.54
67.226.221.27,80,443,true,SJC,North America,US,San Jose,403,8.54
44.244.114.154,443,443,true,SEA,North America,US,Seattle,283,8.54
67.226.221.20,80,443,true,SJC,North America,US,San Jose,230,8.54
67.226.221.229,80,443,true,SJC,North America,US,San Jose,305,8.54
18.171.217.232,443,443,true,LHR,Europe,GB,London,260,8.54
67.226.221.55,80,443,true,SJC,North America,US,San Jose,229,8.54
54.245.157.61,443,443,true,SEA,North America,US,Seattle,336,8.53
18.184.73.103,2087,443,true,FRA,Europe,DE,Frankfurt,334,8.53
3.131.36.62,443,443,true,IAD,North America,US,Ashburn,318,8.53
204.110.220.22,80,443,true,SJC,North America,US,San Jose,216,8.52
54.214.195.0,443,443,true,SEA,North America,US,Seattle,293,8.51
204.110.220.194,80,443,true,SJC,North America,US,San Jose,208,8.50
54.176.205.20,80,443,true,SJC,North America,US,San Jose,199,8.49
35.163.104.131,443,443,true,SEA,North America,US,Seattle,230,8.49
54.187.212.113,8443,443,true,PDX,North America,US,Portland,218,8.48
47.129.116.111,443,443,true,SIN,Asia Pacific,SG,Singapore,298,8.48
54.194.71.191,443,443,true,DUB,Europe,IE,Dublin,270,8.48
3.16.78.54,443,443,true,IAD,North America,US,Ashburn,281,8.48
67.226.221.245,80,443,true,SJC,North America,US,San Jose,419,8.48
67.226.221.240,80,443,true,SJC,North America,US,San Jose,223,8.47
204.110.220.17,80,443,true,SJC,North America,US,San Jose,210,8.47
67.226.221.191,80,443,true,SJC,North America,US,San Jose,319,8.46
18.224.53.35,8443,443,true,IAD,North America,US,Ashburn,243,8.46
67.226.221.127,443,443,true,SJC,North America,US,San Jose,471,8.46
54.185.176.179,443,443,true,PDX,North America,US,Portland,262,8.46
