IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
52.89.100.174,443,443,true,PDX,North America,US,Portland,218,8.97
54.151.40.224,443,443,true,SJC,North America,US,San Jose,393,8.96
34.212.25.147,443,443,true,SEA,North America,US,Seattle,463,8.96
204.110.220.220,80,443,true,SJC,North America,US,San Jose,213,8.95
34.221.20.125,8443,443,true,SEA,North America,US,Seattle,416,8.95
34.217.87.226,443,443,true,SEA,North America,US,Seattle,324,8.95
18.221.199.109,443,443,true,IAD,North America,US,Ashburn,375,8.95
18.175.61.103,443,443,true,LHR,Europe,GB,London,291,8.93
52.40.65.17,443,443,true,SEA,North America,US,Seattle,251,8.92
54.176.205.20,80,443,true,SJC,North America,US,San Jose,406,8.92
3.126.159.12,443,443,true,FRA,Europe,DE,Frankfurt,340,8.91
3.101.73.167,80,443,true,SJC,North America,US,San Jose,408,8.90
3.126.159.12,443,443,true,FRA,Europe,DE,Frankfurt,350,8.90
54.187.240.31,443,443,true,PDX,North America,US,Portland,366,8.89
51.20.238.138,8080,443,true,ARN,Europe,SE,Stockholm,263,8.89
35.94.177.141,443,443,true,SEA,North America,US,Seattle,258,8.89
54.245.158.32,443,443,true,SEA,North America,US,Seattle,334,8.89
44.227.78.80,443,443,true,SEA,North America,US,Seattle,388,8.88
34.214.104.193,8443,443,true,SEA,North America,US,Seattle,331,8.88
34.220.171.252,443,443,true,SEA,North America,US,Seattle,247,8.87
52.27.119.140,443,443,true,SEA,North America,US,Seattle,266,8.87
52.42.71.111,443,443,true,PDX,North America,US,Portland,266,8.87
54.177.196.101,80,443,true,SJC,North America,US,San Jose,374,8.87
35.86.90.184,8080,443,true,PDX,North America,US,Portland,311,8.86
34.210.39.190,443,443,true,PDX,North America,US,Portland,314,8.86
184.169.222.179,80,443,true,SJC,North America,US,San Jose,257,8.85
35.87.202.138,8443,443,true,SEA,North America,US,Seattle,364,8.85
54.191.186.166,443,443,true,SEA,North America,US,Seattle,298,8.84
34.217.174.47,443,443,true,SEA,North America,US,Seattle,286,8.83
54.202.56.174,443,443,true,SEA,North America,US,Seattle,332,8.82
54.187.212.113,8443,443,true,PDX,North America,US,Portland,310,8.82
54.187.212.113,8443,443,true,PDX,North America,US,Portland,307,8.78
35.89.160.188,8443,443,true,SEA,North America,US,Seattle,318,8.76
35.92.142.32,443,443,true,PDX,North America,US,Portland,219,8.76
54.70.201.49,443,443,true,PDX,North America,US,Portland,294,8.74
3.230.207.59,8443,443,true,IAD,North America,US,Ashburn,301,8.73
67.226.221.63,80,443,true,SJC,North America,US,San Jose,225,8.71
3.11.236.175,443,443,true,LHR,Europe,GB,London,248,8.71
35.88.27.65,8443,443,true,SEA,North America,US,Seattle,381,8.71
3.82.153.90,443,443,true,IAD,North America,US,Ashburn,301,8.70
34.220.99.189,443,443,true,SEA,North America,US,Seattle,339,8.70
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,244,8.69
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,260,8.68
34.220.171.252,443,443,true,SEA,North America,US,Seattle,375,8.68
3.67.204.194,443,443,true,FRA,Europe,DE,Frankfurt,350,8.68
52.10.230.80,443,443,true,SEA,North America,US,Seattle,304,8.67
34.221.160.52,443,443,true,PDX,North America,US,Portland,329,8.67
34.221.160.52,443,443,true,PDX,North America,US,Portland,309,8.65
44.224.24.91,443,443,true,PDX,North America,US,Portland,275,8.64
54.201.44.170,443,443,true,PDX,North America,US,Portland,368,8.64
54.193.104.34,80,443,true,SJC,North America,US,San Jose,408,8.64
3.9.9.137,8443,443,true,LHR,Europe,GB,London,341,8.64
54.186.64.99,443,443,true,PDX,North America,US,Portland,218,8.63
54.176.113.170,80,443,true,SJC,North America,US,San Jose,348,8.63
44.224.24.91,443,443,true,SEA,North America,US,Seattle,257,8.63
35.159.168.72,443,443,true,FRA,Europe,DE,Frankfurt,393,8.62
44.212.221.15,443,443,true,IAD,North America,US,Ashburn,251,8.61
52.40.221.63,443,443,true,SEA,North America,US,Seattle,335,8.59
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,375,8.58
54.191.186.166,443,443,true,SEA,North America,US,Seattle,370,8.58
35.87.140.109,443,443,true,PDX,North America,US,Portland,407,8.57
3.123.255.167,443,443,true,FRA,Europe,DE,Frankfurt,350,8.56
54.67.101.237,443,443,true,SJC,North America,US,San Jose,388,8.56
3.133.94.102,443,443,true,IAD,North America,US,Ashburn,322,8.56
52.42.71.111,443,443,true,PDX,North America,US,Portland,285,8.55
51.20.249.244,8443,443,true,AMS,Europe,NL,Amsterdam,252,8.55
3.101.133.120,80,443,true,SJC,North America,US,San Jose,318,8.55
50.18.133.190,80,443,true,SJC,North America,US,San Jose,191,8.55
67.226.221.209,80,443,true,SJC,North America,US,San Jose,377,8.55
67.226.221.27,443,443,true,SJC,North America,US,San Jose,426,8.55
54.193.104.34,80,443,true,SJC,North America,US,San Jose,282,8.55
52.15.115.215,8443,443,true,IAD,North America,US,Ashburn,349,8.55
67.226.221.1,443,443,true,SJC,North America,US,San Jose,525,8.55
67.226.221.76,80,443,true,SJC,North America,US,San Jose,288,8.54
54.177.196.101,80,443,true,SJC,North America,US,San Jose,280,8.54
54.183.230.155,443,443,true,SJC,North America,US,San Jose,311,8.54
67.226.221.102,80,443,true,SJC,North America,US,San Jose,209,8.54
204.110.220.118,80,443,true,SJC,North America,US,San Jose,217,8.54
67.226.221.213,80,443,true,SJC,North America,US,San Jose,215,8.53
16.170.136.116,2083,443,true,CPH,Europe,DK,Copenhagen,300,8.52
54.202.56.174,443,443,true,SEA,North America,US,Seattle,259,8.52
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,235,8.52
204.110.220.253,80,443,true,SJC,North America,US,San Jose,216,8.50
18.236.152.142,443,443,true,SEA,North America,US,Seattle,298,8.50
204.110.220.216,80,443,true,SJC,North America,US,San Jose,216,8.50
54.241.79.250,80,443,true,SJC,North America,US,San Jose,290,8.49
67.226.221.191,80,443,true,SJC,North America,US,San Jose,394,8.49
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,240,8.49
54.245.155.49,443,443,true,SEA,North America,US,Seattle,247,8.49
67.226.221.145,80,443,true,SJC,North America,US,San Jose,368,8.48
34.208.221.169,443,443,true,SEA,North America,US,Seattle,424,8.47
3.131.119.131,443,443,true,IAD,North America,US,Ashburn,252,8.47
35.88.25.17,443,443,true,PDX,North America,US,Portland,333,8.45
67.226.221.171,80,443,true,SJC,North America,US,San Jose,461,8.45
54.219.128.169,80,443,true,SJC,North America,US,San Jose,312,8.44
67.226.221.249,443,443,true,SJC,North America,US,San Jose,215,8.43
204.110.220.18,80,443,true,SJC,North America,US,San Jose,222,8.43
3.7.108.69,443,443,true,BOM,Asia Pacific,IN,Mumbai,324,8.42
67.226.221.182,80,443,true,SJC,North America,US,San Jose,359,8.41
54.176.113.170,80,443,true,SJC,North America,US,San Jose,277,8.41
52.13.58.60,443,443,true,PDX,North America,US,Portland,246,8.37
52.15.128.159,443,443,true,IAD,North America,US,Ashburn,263,8.37
34.210.39.190,443,443,true,PDX,North America,US,Portland,243,8.37
3.141.35.216,8443,443,true,IAD,North America,US,Ashburn,446,8.36
3.230.120.218,443,443,true,IAD,North America,US,Ashburn,341,8.35
3.9.9.137,2053,443,true,LHR,Europe,GB,London,256,8.34
67.226.221.65,80,443,true,SJC,North America,US,San Jose,347,8.34
54.176.205.20,80,443,true,SJC,North America,US,San Jose,303,8.33
67.226.223.13,80,443,true,LHR,Europe,GB,London,326,8.32
35.164.159.45,443,443,true,SEA,North America,US,Seattle,275,8.30
67.226.221.151,443,443,true,SJC,North America,US,San Jose,385,8.29
3.16.47.47,443,443,true,IAD,North America,US,Ashburn,268,8.29
54.148.167.46,443,443,true,PDX,North America,US,Portland,343,8.29
34.220.99.189,443,443,true,SEA,North America,US,Seattle,329,8.28
54.67.51.212,80,443,true,SJC,North America,US,San Jose,356,8.28
44.223.90.76,443,443,true,IAD,North America,US,Ashburn,287,8.27
54.201.44.170,443,443,true,PDX,North America,US,Portland,217,8.25
44.201.24.3,443,443,true,IAD,North America,US,Ashburn,551,8.25
18.225.36.27,443,443,true,IAD,North America,US,Ashburn,331,8.25
67.226.221.68,443,443,true,SJC,North America,US,San Jose,367,8.25
67.226.221.104,443,443,true,SJC,North America,US,San Jose,292,8.24
44.214.1.28,443,443,true,IAD,North America,US,Ashburn,362,8.23
3.235.184.162,443,443,true,IAD,North America,US,Ashburn,389,8.21
35.153.49.143,443,443,true,IAD,North America,US,Ashburn,461,8.21
35.164.159.45,443,443,true,SEA,North America,US,Seattle,382,8.21
3.15.209.190,443,443,true,IAD,North America,US,Ashburn,243,8.21
204.110.220.12,80,443,true,SJC,North America,US,San Jose,223,8.20
54.219.128.169,80,443,true,SJC,North America,US,San Jose,237,8.19
3.101.102.25,80,443,true,SJC,North America,US,San Jose,389,8.19
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,326,8.16
3.137.172.232,8443,443,true,IAD,North America,US,Ashburn,313,8.15
3.19.70.26,443,443,true,IAD,North America,US,Ashburn,345,8.15
67.226.221.59,443,443,true,SJC,North America,US,San Jose,248,8.14
67.226.221.9,80,443,true,SJC,North America,US,San Jose,394,8.13
44.220.243.179,443,443,true,IAD,North America,US,Ashburn,333,8.12
3.143.231.175,443,443,true,IAD,North America,US,Ashburn,480,8.12
44.205.0.194,443,443,true,IAD,North America,US,Ashburn,280,8.11
67.226.221.213,443,443,true,SJC,North America,US,San Jose,367,8.09
67.226.221.3,80,443,true,SJC,North America,US,San Jose,200,8.07
54.200.244.93,443,443,true,PDX,North America,US,Portland,330,8.07
3.15.16.140,443,443,true,IAD,North America,US,Ashburn,405,8.06
204.110.220.71,80,443,true,SJC,North America,US,San Jose,211,8.06
204.110.220.212,80,443,true,SJC,North America,US,San Jose,201,8.04
18.175.164.68,443,443,true,LHR,Europe,GB,London,347,8.04
204.110.220.157,80,443,true,SJC,North America,US,San Jose,214,8.04
44.192.128.89,443,443,true,IAD,North America,US,Ashburn,261,8.04
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,282,8.03
44.221.83.151,443,443,true,IAD,North America,US,Ashburn,250,8.03
52.41.218.4,443,443,true,SEA,North America,US,Seattle,297,8.02
54.149.11.131,80,443,true,PDX,North America,US,Portland,233,8.02
18.217.229.62,443,443,true,IAD,North America,US,Ashburn,357,8.01
54.67.101.237,443,443,true,SJC,North America,US,San Jose,270,8.00
50.17.156.116,443,443,true,IAD,North America,US,Ashburn,329,8.00
44.217.235.114,8443,443,true,IAD,North America,US,Ashburn,323,8.00
54.190.156.147,8443,443,true,PDX,North America,US,Portland,363,8.00
18.191.199.233,443,443,true,IAD,North America,US,Ashburn,404,7.97
67.226.223.72,80,443,true,LHR,Europe,GB,London,370,7.97
52.12.162.159,443,443,true,PDX,North America,US,Portland,293,7.96
3.148.113.141,8443,443,true,IAD,North America,US,Ashburn,350,7.95
67.226.221.68,80,443,true,SJC,North America,US,San Jose,216,7.94
3.15.13.189,443,443,true,IAD,North America,US,Ashburn,327,7.92
3.239.105.79,443,443,true,IAD,North America,US,Ashburn,315,7.92
67.226.221.109,80,443,true,SJC,North America,US,San Jose,203,7.92
67.226.221.73,443,443,true,SJC,North America,US,San Jose,216,7.92
98.80.146.170,443,443,true,IAD,North America,US,Ashburn,305,7.91
3.235.94.82,443,443,true,IAD,North America,US,Ashburn,275,7.91
3.123.255.167,443,443,true,FRA,Europe,DE,Frankfurt,296,7.90
44.195.86.77,443,443,true,IAD,North America,US,Ashburn,318,7.89
63.176.206.217,2053,443,true,FRA,Europe,DE,Frankfurt,272,7.88
44.205.6.3,443,443,true,IAD,North America,US,Ashburn,376,7.87
44.193.28.196,443,443,true,IAD,North America,US,Ashburn,337,7.86
67.226.221.3,443,443,true,SJC,North America,US,San Jose,207,7.86
35.167.93.200,443,443,true,PDX,North America,US,Portland,240,7.85
34.201.18.112,443,443,true,IAD,North America,US,Ashburn,391,7.84
204.110.220.143,80,443,true,SJC,North America,US,San Jose,220,7.83
44.213.125.222,443,443,true,IAD,North America,US,Ashburn,295,7.83
3.129.183.128,443,443,true,CMH,North America,US,Columbus,382,7.83
52.15.115.215,8443,443,true,ORD,North America,US,Chicago,386,7.82
3.239.238.233,443,443,true,IAD,North America,US,Ashburn,253,7.82
54.200.244.93,443,443,true,SEA,North America,US,Seattle,340,7.82
35.182.188.214,443,443,true,YUL,North America,CA,Montréal,264,7.81
204.110.220.155,80,443,true,SJC,North America,US,San Jose,204,7.81
3.228.217.47,443,443,true,IAD,North America,US,Ashburn,297,7.81
3.144.211.128,443,443,true,IAD,North America,US,Ashburn,257,7.80
3.144.221.97,443,443,true,IAD,North America,US,Ashburn,262,7.79
54.169.228.90,443,443,true,SIN,Asia Pacific,SG,Singapore,140,7.78
67.226.223.216,80,443,true,LHR,Europe,GB,London,332,7.78
204.110.220.238,80,443,true,SJC,North America,US,San Jose,209,7.78
18.191.201.139,443,443,true,IAD,North America,US,Ashburn,344,7.76
44.201.50.48,443,443,true,IAD,North America,US,Ashburn,309,7.76
3.239.149.126,443,443,true,IAD,North America,US,Ashburn,404,7.76
18.118.30.188,8443,443,true,IAD,North America,US,Ashburn,242,7.74
44.197.215.108,443,443,true,IAD,North America,US,Ashburn,250,7.74
63.176.206.217,443,443,true,FRA,Europe,DE,Frankfurt,300,7.74
67.226.221.104,80,443,true,SJC,North America,US,San Jose,204,7.73
3.88.110.210,2053,443,true,IAD,North America,US,Ashburn,264,7.72
34.201.48.78,443,443,true,IAD,North America,US,Ashburn,391,7.72
54.203.85.46,80,443,true,PDX,North America,US,Portland,230,7.72
3.239.71.184,443,443,true,IAD,North America,US,Ashburn,301,7.71
52.41.218.4,443,443,true,SEA,North America,US,Seattle,387,7.71
67.226.221.254,80,443,true,SJC,North America,US,San Jose,416,7.70
63.176.206.217,2053,443,true,FRA,Europe,DE,Frankfurt,396,7.70
204.110.220.227,80,443,true,SJC,North America,US,San Jose,201,7.69
67.226.221.27,80,443,true,SJC,North America,US,San Jose,366,7.69
3.139.56.247,443,443,true,IAD,North America,US,Ashburn,347,7.68
44.228.63.60,443,443,true,SEA,North America,US,Seattle,303,7.68
98.84.109.147,443,443,true,IAD,North America,US,Ashburn,285,7.67
63.176.206.217,443,443,true,FRA,Europe,DE,Frankfurt,271,7.67
3.21.134.164,443,443,true,IAD,North America,US,Ashburn,403,7.67
18.220.89.219,443,443,true,IAD,North America,US,Ashburn,339,7.66
67.226.221.79,80,443,true,SJC,North America,US,San Jose,219,7.66
3.86.85.68,443,443,true,IAD,North America,US,Ashburn,375,7.65
67.226.221.1,80,443,true,SJC,North America,US,San Jose,219,7.64
44.200.37.36,443,443,true,IAD,North America,US,Ashburn,293,7.63
3.218.234.33,443,443,true,IAD,North America,US,Ashburn,248,7.63
52.35.114.64,443,443,true,PDX,North America,US,Portland,272,7.63
67.226.221.100,80,443,true,SJC,North America,US,San Jose,206,7.63
3.140.194.68,443,443,true,IAD,North America,US,Ashburn,299,7.62
3.99.192.219,443,443,true,YUL,North America,CA,Montréal,296,7.62
34.217.193.173,443,443,true,PDX,North America,US,Portland,295,7.62
35.167.93.200,443,443,true,SEA,North America,US,Seattle,333,7.60
3.236.152.116,443,443,true,IAD,North America,US,Ashburn,277,7.60
3.239.238.110,443,443,true,IAD,North America,US,Ashburn,249,7.59
3.16.188.13,443,443,true,IAD,North America,US,Ashburn,405,7.59
44.244.2.77,80,443,true,SEA,North America,US,Seattle,327,7.59
3.144.211.128,443,443,true,IAD,North America,US,Ashburn,279,7.59
35.172.195.33,443,443,true,IAD,North America,US,Ashburn,246,7.58
44.200.162.12,443,443,true,IAD,North America,US,Ashburn,331,7.58
44.222.219.40,443,443,true,IAD,North America,US,Ashburn,437,7.58
67.226.221.111,80,443,true,SJC,North America,US,San Jose,199,7.58
67.226.221.249,80,443,true,SJC,North America,US,San Jose,218,7.57
35.170.62.214,443,443,true,IAD,North America,US,Ashburn,240,7.57
3.235.16.33,443,443,true,IAD,North America,US,Ashburn,303,7.56
44.223.14.206,443,443,true,IAD,North America,US,Ashburn,305,7.56
3.15.191.146,443,443,true,IAD,North America,US,Ashburn,361,7.55
3.223.6.165,443,443,true,IAD,North America,US,Ashburn,304,7.55
34.219.63.12,80,443,true,SEA,North America,US,Seattle,274,7.55
52.14.147.64,443,443,true,IAD,North America,US,Ashburn,451,7.54
3.222.113.30,443,443,true,IAD,North America,US,Ashburn,341,7.54
204.110.220.5,80,443,true,SJC,North America,US,San Jose,205,7.54
204.110.220.184,80,443,true,SJC,North America,US,San Jose,203,7.53
3.237.92.138,443,443,true,IAD,North America,US,Ashburn,331,7.53
3.239.241.211,443,443,true,IAD,North America,US,Ashburn,265,7.52
3.231.223.209,443,443,true,IAD,North America,US,Ashburn,275,7.52
3.237.8.58,443,443,true,IAD,North America,US,Ashburn,379,7.50
67.226.221.85,80,443,true,SJC,North America,US,San Jose,430,7.50
54.191.65.60,443,443,true,PDX,North America,US,Portland,405,7.50
3.145.130.92,443,443,true,IAD,North America,US,Ashburn,359,7.49
54.202.115.66,80,443,true,PDX,North America,US,Portland,293,7.49
34.216.124.126,443,443,true,PDX,North America,US,Portland,256,7.49
18.192.62.218,443,443,true,FRA,Europe,DE,Frankfurt,303,7.49
52.10.78.7,80,443,true,PDX,North America,US,Portland,503,7.49
67.226.221.151,80,443,true,SJC,North America,US,San Jose,379,7.48
3.141.223.191,8443,443,true,ORD,North America,US,Chicago,320,7.48
3.18.162.191,2096,443,true,ORD,North America,US,Chicago,348,7.47
44.204.251.249,443,443,true,IAD,North America,US,Ashburn,318,7.47
52.32.90.142,80,443,true,SEA,North America,US,Seattle,449,7.47
3.16.47.47,443,443,true,IAD,North America,US,Ashburn,280,7.47
3.128.253.42,2053,443,true,ORD,North America,US,Chicago,272,7.46
44.222.248.171,443,443,true,IAD,North America,US,Ashburn,375,7.45
35.167.93.200,80,443,true,SEA,North America,US,Seattle,257,7.45
54.191.65.60,443,443,true,PDX,North America,US,Portland,380,7.44
44.213.90.142,443,443,true,IAD,North America,US,Ashburn,348,7.44
3.230.2.220,443,443,true,IAD,North America,US,Ashburn,483,7.43
44.201.49.87,443,443,true,IAD,North America,US,Ashburn,348,7.43
3.142.122.81,443,443,true,IAD,North America,US,Ashburn,359,7.43
67.226.221.75,80,443,true,SJC,North America,US,San Jose,455,7.43
34.216.124.126,443,443,true,SEA,North America,US,Seattle,411,7.43
98.84.164.65,443,443,true,IAD,North America,US,Ashburn,375,7.42
44.197.229.225,443,443,true,IAD,North America,US,Ashburn,247,7.42
3.239.253.161,443,443,true,IAD,North America,US,Ashburn,385,7.42
3.94.95.156,443,443,true,IAD,North America,US,Ashburn,238,7.42
3.148.113.141,8443,443,true,IAD,North America,US,Ashburn,226,7.42
44.203.206.125,443,443,true,IAD,North America,US,Ashburn,270,7.42
35.88.153.95,80,443,true,SEA,North America,US,Seattle,310,7.42
18.198.168.3,443,443,true,FRA,Europe,DE,Frankfurt,297,7.42
44.245.205.179,80,443,true,PDX,North America,US,Portland,323,7.41
3.235.108.69,443,443,true,IAD,North America,US,Ashburn,282,7.41
204.110.220.15,80,443,true,SJC,North America,US,San Jose,205,7.41
3.143.211.229,443,443,true,IAD,North America,US,Ashburn,252,7.41
3.231.27.127,443,443,true,IAD,North America,US,Ashburn,471,7.41
3.235.143.225,443,443,true,IAD,North America,US,Ashburn,289,7.40
3.216.78.26,443,443,true,IAD,North America,US,Ashburn,264,7.40
44.203.6.105,443,443,true,IAD,North America,US,Ashburn,297,7.40
204.110.220.233,80,443,true,SJC,North America,US,San Jose,205,7.40
44.213.247.148,443,443,true,IAD,North America,US,Ashburn,298,7.39
35.167.93.200,80,443,true,PDX,North America,US,Portland,273,7.39
3.230.128.248,443,443,true,IAD,North America,US,Ashburn,298,7.39
3.231.146.59,443,443,true,IAD,North America,US,Ashburn,282,7.38
3.231.95.44,443,443,true,IAD,North America,US,Ashburn,385,7.38
44.214.182.22,443,443,true,IAD,North America,US,Ashburn,285,7.38
44.220.174.19,443,443,true,IAD,North America,US,Ashburn,327,7.37
54.202.115.66,80,443,true,SEA,North America,US,Seattle,254,7.37
18.217.219.245,443,443,true,IAD,North America,US,Ashburn,344,7.36
3.235.0.62,443,443,true,IAD,North America,US,Ashburn,347,7.36
34.200.215.97,443,443,true,IAD,North America,US,Ashburn,336,7.36
35.165.219.81,443,443,true,SEA,North America,US,Seattle,279,7.35
52.10.78.7,80,443,true,PDX,North America,US,Portland,283,7.35
44.200.7.218,443,443,true,IAD,North America,US,Ashburn,291,7.35
34.205.28.132,443,443,true,IAD,North America,US,Ashburn,280,7.35
3.226.235.115,443,443,true,IAD,North America,US,Ashburn,254,7.33
44.222.143.232,443,443,true,IAD,North America,US,Ashburn,293,7.32
34.209.4.175,80,443,true,SEA,North America,US,Seattle,243,7.32
52.10.78.7,443,443,true,PDX,North America,US,Portland,249,7.32
34.193.164.187,443,443,true,IAD,North America,US,Ashburn,311,7.32
52.3.236.48,443,443,true,IAD,North America,US,Ashburn,305,7.31
44.223.102.179,443,443,true,IAD,North America,US,Ashburn,242,7.31
3.89.81.149,443,443,true,IAD,North America,US,Ashburn,331,7.30
44.203.238.78,443,443,true,IAD,North America,US,Ashburn,255,7.30
34.209.4.175,80,443,true,PDX,North America,US,Portland,267,7.30
44.195.34.230,443,443,true,IAD,North America,US,Ashburn,449,7.29
34.223.206.64,443,443,true,PDX,North America,US,Portland,405,7.29
3.142.52.69,443,443,true,IAD,North America,US,Ashburn,323,7.29
3.138.103.232,443,443,true,IAD,North America,US,Ashburn,347,7.29
3.239.106.44,443,443,true,IAD,North America,US,Ashburn,241,7.28
3.239.187.193,443,443,true,IAD,North America,US,Ashburn,243,7.28
34.201.31.203,443,443,true,IAD,North America,US,Ashburn,342,7.28
35.172.109.19,443,443,true,IAD,North America,US,Ashburn,376,7.27
3.235.195.163,443,443,true,IAD,North America,US,Ashburn,326,7.27
34.194.76.43,443,443,true,IAD,North America,US,Ashburn,404,7.26
52.15.97.71,8443,443,true,ORD,North America,US,Chicago,443,7.25
18.175.240.177,80,443,true,LHR,Europe,GB,London,294,7.25
3.136.85.50,443,443,true,IAD,North America,US,Ashburn,388,7.25
44.199.205.56,443,443,true,IAD,North America,US,Ashburn,339,7.24
3.139.109.136,443,443,true,IAD,North America,US,Ashburn,332,7.24
44.245.205.179,80,443,true,PDX,North America,US,Portland,260,7.23
3.237.87.40,443,443,true,IAD,North America,US,Ashburn,320,7.23
54.203.85.46,443,443,true,PDX,North America,US,Portland,290,7.23
44.192.7.123,443,443,true,IAD,North America,US,Ashburn,396,7.23
3.138.140.28,443,443,true,IAD,North America,US,Ashburn,296,7.23
3.142.122.81,443,443,true,IAD,North America,US,Ashburn,421,7.22
3.23.85.118,443,443,true,IAD,North America,US,Ashburn,361,7.22
50.18.133.190,80,443,true,SJC,North America,US,San Jose,260,7.22
3.143.231.175,443,443,true,IAD,North America,US,Ashburn,313,7.22
35.183.94.21,443,443,true,YUL,North America,CA,Montréal,319,7.22
3.99.140.50,443,443,true,YUL,North America,CA,Montréal,296,7.21
44.192.49.189,443,443,true,IAD,North America,US,Ashburn,357,7.21
3.233.237.162,443,443,true,IAD,North America,US,Ashburn,261,7.21
44.222.239.4,443,443,true,IAD,North America,US,Ashburn,339,7.21
3.91.147.95,443,443,true,IAD,North America,US,Ashburn,274,7.20
44.200.62.190,443,443,true,IAD,North America,US,Ashburn,256,7.20
44.212.26.177,443,443,true,IAD,North America,US,Ashburn,368,7.20
52.10.78.7,443,443,true,PDX,North America,US,Portland,320,7.19
3.143.244.172,8443,443,true,IAD,North America,US,Ashburn,285,7.19
44.204.143.28,443,443,true,IAD,North America,US,Ashburn,321,7.19
34.201.24.63,443,443,true,IAD,North America,US,Ashburn,308,7.19
44.193.8.148,443,443,true,IAD,North America,US,Ashburn,399,7.19
3.239.68.49,443,443,true,IAD,North America,US,Ashburn,259,7.18
18.216.229.231,443,443,true,IAD,North America,US,Ashburn,366,7.18
3.233.232.168,443,443,true,IAD,North America,US,Ashburn,298,7.18
44.199.253.135,443,443,true,IAD,North America,US,Ashburn,259,7.18
3.17.129.88,443,443,true,IAD,North America,US,Ashburn,282,7.17
54.149.11.131,80,443,true,SEA,North America,US,Seattle,346,7.17
67.226.221.210,80,443,true,SJC,North America,US,San Jose,434,7.17
44.203.13.209,443,443,true,IAD,North America,US,Ashburn,393,7.16
3.231.216.84,443,443,true,IAD,North America,US,Ashburn,373,7.16
34.216.124.126,80,443,true,PDX,North America,US,Portland,380,7.16
18.192.152.35,8443,443,true,FRA,Europe,DE,Frankfurt,251,7.15
