IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.219.210.20,443,443,true,SIN,Asia Pacific,SG,Singapore,244,4.24
8.222.255.247,443,443,true,SIN,Asia Pacific,SG,Singapore,142,4.21
8.222.168.240,443,443,true,SIN,Asia Pacific,SG,Singapore,210,4.14
47.88.15.127,443,443,true,SJC,North America,US,San Jose,277,4.12
8.219.212.96,443,443,true,SIN,Asia Pacific,SG,Singapore,251,4.09
8.219.51.161,443,443,true,SIN,Asia Pacific,SG,Singapore,223,4.05
8.219.3.5,443,443,true,SIN,Asia Pacific,SG,Singapore,297,4.05
8.219.222.2,443,443,true,SIN,Asia Pacific,SG,Singapore,298,3.96
8.219.200.178,443,443,true,SIN,Asia Pacific,SG,Singapore,229,3.96
8.222.206.103,443,443,true,SIN,Asia Pacific,SG,Singapore,217,3.95
8.219.52.40,443,443,true,SIN,Asia Pacific,SG,Singapore,167,3.89
8.219.197.166,443,443,true,SIN,Asia Pacific,SG,Singapore,234,3.89
8.219.231.170,443,443,true,SIN,Asia Pacific,SG,Singapore,262,3.88
47.236.79.131,8443,443,true,SIN,Asia Pacific,SG,Singapore,203,3.88
8.219.168.234,443,443,true,SIN,Asia Pacific,SG,Singapore,204,3.88
8.219.61.12,443,443,true,SIN,Asia Pacific,SG,Singapore,245,3.84
8.222.200.77,443,443,true,SIN,Asia Pacific,SG,Singapore,215,3.83
8.222.172.94,443,443,true,SIN,Asia Pacific,SG,Singapore,223,3.80
8.219.62.106,443,443,true,SIN,Asia Pacific,SG,Singapore,247,3.77
8.219.219.79,443,443,true,SIN,Asia Pacific,SG,Singapore,245,3.75
8.222.220.237,443,443,true,SIN,Asia Pacific,SG,Singapore,36,3.67
8.219.13.82,443,443,true,SIN,Asia Pacific,SG,Singapore,258,3.64
8.219.76.189,443,443,true,SIN,Asia Pacific,SG,Singapore,159,3.62
8.219.1.18,443,443,true,SIN,Asia Pacific,SG,Singapore,210,3.60
8.219.253.244,443,443,true,SIN,Asia Pacific,SG,Singapore,297,3.60
8.219.171.40,443,443,true,SIN,Asia Pacific,SG,Singapore,256,3.55
8.222.174.102,443,443,true,SIN,Asia Pacific,SG,Singapore,223,3.54
8.219.191.187,443,443,true,SIN,Asia Pacific,SG,Singapore,274,3.47
