IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.148.7.47,443,443,true,IAD,North America,US,Ashburn,228,6.08
152.67.131.178,443,443,true,FRA,Europe,DE,Frankfurt,375,6.07
129.80.213.140,443,443,true,IAD,North America,US,Ashburn,251,6.07
193.123.224.135,443,443,true,SIN,Asia Pacific,SG,Singapore,215,6.07
144.24.174.238,443,443,true,FRA,Europe,DE,Frankfurt,445,6.04
158.179.206.143,443,443,true,ARN,Europe,SE,Stockholm,296,6.04
129.153.17.233,443,443,true,IAD,North America,US,Ashburn,281,6.04
129.159.251.84,443,443,true,FRA,Europe,DE,Frankfurt,210,5.99
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,282,5.98
130.162.166.229,443,443,true,FRA,Europe,DE,Frankfurt,208,5.98
144.24.186.83,443,443,true,FRA,Europe,DE,Frankfurt,383,5.96
79.72.77.248,443,443,true,FRA,Europe,DE,Frankfurt,274,5.96
141.148.245.16,443,443,true,FRA,Europe,DE,Frankfurt,355,5.92
84.8.149.72,443,443,true,FRA,Europe,DE,Frankfurt,243,5.91
132.145.54.84,2053,443,true,LHR,Europe,GB,London,277,5.88
141.148.220.141,443,443,true,BOM,Asia Pacific,IN,Mumbai,123,5.85
140.245.66.31,443,443,true,ICN,Asia Pacific,KR,Seoul,300,5.85
131.186.60.210,8080,443,true,NRT,Asia Pacific,JP,Tokyo,217,5.84
130.162.241.234,443,443,true,FRA,Europe,DE,Frankfurt,244,5.83
150.230.42.80,443,443,true,SJC,North America,US,San Jose,342,5.83
217.142.243.226,443,443,true,KIX,Asia Pacific,JP,Osaka,311,5.81
130.162.49.74,443,443,true,FRA,Europe,DE,Frankfurt,298,5.80
89.168.107.197,443,443,true,FRA,Europe,DE,Frankfurt,210,5.79
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,137,5.76
158.180.14.56,443,443,true,FRA,Europe,DE,Frankfurt,260,5.76
150.230.206.72,443,443,true,LAX,North America,US,Los Angeles,342,5.75
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,102,5.75
132.145.116.185,443,443,true,NRT,Asia Pacific,JP,Tokyo,140,5.75
193.122.117.159,443,443,true,ICN,Asia Pacific,KR,Seoul,208,5.74
152.70.56.238,443,443,true,FRA,Europe,DE,Frankfurt,228,5.74
144.24.186.145,443,443,true,FRA,Europe,DE,Frankfurt,322,5.73
64.181.227.69,443,443,true,SJC,North America,US,San Jose,265,5.72
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,226,5.71
132.226.201.188,443,443,true,FRA,Europe,DE,Frankfurt,238,5.70
131.186.27.112,2096,443,true,ICN,Asia Pacific,KR,Seoul,117,5.68
152.70.23.84,443,443,true,FRA,Europe,DE,Frankfurt,271,5.67
141.144.193.182,443,443,true,FRA,Europe,DE,Frankfurt,304,5.67
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,107,5.66
141.148.239.160,443,443,true,FRA,Europe,DE,Frankfurt,233,5.65
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,164,5.64
152.67.222.167,443,443,true,ICN,Asia Pacific,KR,Seoul,284,5.63
193.122.165.16,443,443,true,IAD,North America,US,Ashburn,336,5.63
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,113,5.63
140.84.179.114,443,443,true,DFW,North America,US,Dallas,440,5.60
129.80.165.227,443,443,true,IAD,North America,US,Ashburn,387,5.59
84.8.146.137,443,443,true,FRA,Europe,DE,Frankfurt,264,5.58
