IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.245.125.77,443,443,true,SIN,Asia Pacific,SG,Singapore,234,3.05
8.222.185.189,443,443,true,SIN,Asia Pacific,SG,Singapore,252,3.05
8.219.62.69,443,443,true,SIN,Asia Pacific,SG,Singapore,245,3.04
8.219.93.173,443,443,true,SIN,Asia Pacific,SG,Singapore,263,3.03
47.245.97.120,443,443,true,SIN,Asia Pacific,SG,Singapore,349,2.94
8.219.134.184,443,443,true,SIN,Asia Pacific,SG,Singapore,279,2.94
8.222.185.7,443,443,true,SIN,Asia Pacific,SG,Singapore,174,2.92
8.222.189.34,443,443,true,SIN,Asia Pacific,SG,Singapore,215,2.90
8.222.154.106,443,443,true,SIN,Asia Pacific,SG,Singapore,255,2.90
8.219.251.250,443,443,true,SIN,Asia Pacific,SG,Singapore,211,2.87
8.222.218.40,443,443,true,SIN,Asia Pacific,SG,Singapore,189,2.82
8.219.124.127,443,443,true,SIN,Asia Pacific,SG,Singapore,251,2.81
8.222.157.205,443,443,true,SIN,Asia Pacific,SG,Singapore,212,2.81
8.222.221.201,443,443,true,SIN,Asia Pacific,SG,Singapore,219,2.80
8.222.194.108,443,443,true,SIN,Asia Pacific,SG,Singapore,203,2.79
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,341,2.71
8.219.166.160,443,443,true,SIN,Asia Pacific,SG,Singapore,260,2.68
8.219.128.177,443,443,true,SIN,Asia Pacific,SG,Singapore,217,2.66
8.222.206.102,443,443,true,SIN,Asia Pacific,SG,Singapore,255,2.65
8.219.174.41,443,443,true,SIN,Asia Pacific,SG,Singapore,203,2.57
8.222.184.147,443,443,true,SIN,Asia Pacific,SG,Singapore,221,2.54
8.219.83.103,443,443,true,SIN,Asia Pacific,SG,Singapore,217,2.49
8.219.204.174,443,443,true,SIN,Asia Pacific,SG,Singapore,333,2.48
8.222.166.135,443,443,true,SIN,Asia Pacific,SG,Singapore,186,2.47
8.222.184.147,443,443,true,SIN,Asia Pacific,SG,Singapore,266,2.47
8.219.174.41,443,443,true,SIN,Asia Pacific,SG,Singapore,302,2.45
8.219.60.54,443,443,true,SIN,Asia Pacific,SG,Singapore,298,2.40
8.219.81.228,443,443,true,SIN,Asia Pacific,SG,Singapore,69,2.37
8.222.227.11,443,443,true,SIN,Asia Pacific,SG,Singapore,247,2.36
